City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,maceio,-9.6658,-35.7353,28.69,69,20,6.17,BR,1680035896
1,mataura,-46.1927,168.8643,6.93,66,36,0.86,NZ,1680035748
2,bredasdorp,-34.5322,20.0403,16.65,75,72,5.94,ZA,1680035752
3,mubi,10.2676,13.2644,27.11,15,64,2.85,NG,1680035896
4,jamestown,42.097,-79.2353,7.79,51,20,4.63,US,1680035897
5,hithadhoo,-0.6,73.0833,28.09,75,100,2.12,MV,1680035897
6,port alfred,-33.5906,26.891,18.59,79,100,9.27,ZA,1680035897
7,qaanaaq,77.484,-69.3632,-22.89,68,89,2.26,GL,1680035754
8,bluff,-46.6,168.3333,7.11,63,85,4.57,NZ,1680035897
9,ushuaia,-54.8,-68.3,4.79,87,75,8.23,AR,1680035897
10,albany,42.6001,-73.9662,9.88,47,29,0.45,US,1680035877
11,talara,-4.5772,-81.2719,28.42,74,40,6.69,PE,1680035898
12,rikitea,-23.1203,-134.9692,26.81,75,100,5.23,PF,1680035746
13,mayo,38.8876,-76.5119,14.72,47,75,5.14,US,1680035848
14,fortuna,40.5982,-124.1573,11.19,91,87,5.7,US,1680035542
15,bethel,41.3712,-73.414,10.86,41,100,4.12,US,1680035638
16,cape town,-33.9258,18.4232,17.83,78,75,5.66,ZA,1680035464
17,pangody,65.85,74.4859,-14.24,97,100,2.29,RU,1680035899
18,hermanus,-34.4187,19.2345,15.45,80,100,5.0,ZA,1680035768
19,greenville,35.6127,-77.3663,20.09,56,75,2.06,US,1680035899
20,hobart,-42.8794,147.3294,13.48,98,75,1.54,AU,1680035780
21,sechura,-5.5569,-80.8222,29.01,65,97,5.88,PE,1680035899
22,osakarovka,50.565,72.5692,0.29,72,0,2.8,KZ,1680035899
23,banda aceh,5.5577,95.3222,26.29,80,71,1.14,ID,1680035797
24,hasaki,35.7333,140.8333,8.45,75,85,6.28,JP,1680035900
25,georgetown,5.4112,100.3354,26.96,94,20,0.0,MY,1680035748
26,buin,-33.7333,-70.75,29.13,20,0,4.02,CL,1680035900
27,languyan,5.2618,120.0807,25.99,83,82,3.29,PH,1680035900
28,atuona,-9.8,-139.0333,27.12,77,28,5.85,PF,1680035771
29,abu dhabi,24.4667,54.3667,26.08,51,0,3.6,AE,1680035515
30,praia da vitoria,38.7333,-27.0667,15.14,82,75,12.42,PT,1680035900
31,portland,45.5234,-122.6762,10.85,83,100,6.69,US,1680035313
32,kapaa,22.0752,-159.319,26.72,78,0,5.66,US,1680035544
33,leningradskiy,69.3833,178.4167,-14.93,81,0,3.13,RU,1680035775
34,thompson,55.7435,-97.8558,-11.91,52,100,5.66,CA,1680035570
35,leua,48.2156,18.6071,2.5,62,4,4.68,SK,1680035901
36,punta arenas,-53.15,-70.9167,7.01,61,40,9.77,CL,1680035607
37,kavieng,-2.5744,150.7967,27.01,76,99,0.45,PG,1680035789
38,chekalin,54.0969,36.245,7.27,72,100,6.53,RU,1680035902
39,kruisfontein,-34.0033,24.7314,15.48,82,40,9.82,ZA,1680035791
40,buala,-8.145,159.5921,27.2,82,99,1.82,SB,1680035902
41,kodiak,57.79,-152.4072,5.73,75,0,0.0,US,1680035549
42,naze,28.3667,129.4833,15.51,75,82,5.02,JP,1680035680
43,hilo,19.7297,-155.09,27.93,80,100,5.14,US,1680035742
44,sakaiminato,35.55,133.2333,2.99,100,20,1.54,JP,1680035902
45,bilibino,68.0546,166.4372,-22.65,93,8,1.42,RU,1680035534
46,meaford,44.6001,-80.583,7.68,57,56,2.49,CA,1680035902
47,shingu,33.7333,135.9833,8.0,63,51,2.36,JP,1680035903
48,puyang,29.4603,119.8861,11.36,65,100,0.54,CN,1680035903
49,altay,47.8667,88.1167,2.53,64,4,2.95,CN,1680035903
50,saint-georges,12.0564,-61.7485,27.82,74,40,9.26,GD,1680035903
51,sobolevo,54.4299,31.8996,6.87,86,100,4.85,RU,1680035806
52,novosysoyevka,44.235,133.3642,-0.37,71,0,1.37,RU,1680035904
